,Unnamed: 0,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY.1,BID.1,ASK.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1,Unnamed: 22,call_ltp_mul_chng_in_oi,put_ltp_mul_chng_in_oi
0,,13,1.0,2,81.54,2440.0,73.50,600,"2,190.00","2,290.80","1,000",20250.0,"29,475",0.55,0.60,"3,52,725",-0.65,0.6,29.44,"3,03,373",50604.0,110811,,2440.0,30362.399999999998
1,,132,0.0,-,-,2438.7,27.10,"1,000","2,070.50","2,286.05","1,600",20300.0,"63,350",0.55,0.60,"67,175",-0.85,0.55,28.58,"85,253",6199.0,66018,,0.0,3409.4500000000003
2,,12,0.0,2,61.54,2239.3,-27.05,600,"2,097.40","2,193.15","1,000",20350.0,"1,68,275",0.55,0.60,"4,475",-0.90,0.55,27.96,"51,690",10090.0,10376,,0.0,5549.5
3,,12,0.0,-,-,2219.75,2.90,600,"2,050.45","2,188.50","1,000",20400.0,"1,975",0.65,0.80,600,-0.85,0.65,27.79,"28,449",1892.0,4410,,0.0,1229.8
4,,11,0.0,-,-,2014.55,-,"1,000","1,926.20","2,135.90","1,000",20450.0,"3,400",0.65,0.70,"3,300",-0.95,0.65,27.16,"10,759",2024.0,2066,,0.0,1315.6000000000001
5,,611,-2.0,2,55.80,2078.0,-134.50,325,"1,945.80","2,003.85",75,20500.0,"60,650",0.65,0.70,"1,05,450",-1.00,0.65,26.54,"2,97,885",28205.0,60010,,-4156.0,18333.25
6,,149,0.0,-,-,2132.0,-,"1,000","1,830.00","2,032.10","1,000",20550.0,"29,375",0.70,0.75,"1,800",-1.10,0.7,26.10,"13,190",2451.0,2517,,0.0,1715.6999999999998
7,,24,0.0,-,-,2120.0,-,"1,000","1,781.70","1,979.50","1,000",20600.0,"29,500",0.70,0.75,"11,025",-1.05,0.7,25.47,"92,585",2700.0,8370,,0.0,1889.9999999999998
8,,30,0.0,-,-,2070.0,-,"1,000","1,733.85","1,933.85","1,000",20650.0,"24,975",0.70,0.75,"12,575",-1.30,0.7,24.85,"18,651",1917.0,2390,,0.0,1341.8999999999999
9,,150,0.0,-,-,2010.0,-31.30,600,"1,744.00","1,883.50","1,000",20700.0,"56,150",0.80,0.90,"8,250",-1.25,0.8,24.55,"67,706",-120.0,3883,,0.0,-96.0
10,,56,0.0,-,-,1950.05,-,"2,775","1,636.80","1,835.70","1,000",20750.0,"26,475",0.80,0.90,"1,525",-1.20,0.8,23.91,"20,076",1705.0,2362,,0.0,1364.0
11,,249,0.0,-,-,1931.55,1.90,600,"1,648.80","1,749.95","1,000",20800.0,"34,500",1.00,1.05,"14,450",-0.90,1.0,23.84,"2,69,187",389.0,37650,,0.0,389.0
12,,62,0.0,-,-,1850.0,-,"1,000","1,541.90","1,735.95","1,000",20850.0,"7,000",1.00,1.05,"22,175",-1.35,1.0,23.19,"39,648",3047.0,4177,,0.0,3047.0
13,,95,0.0,-,-,1835.0,-,"2,775","1,493.15","1,685.75","1,000",20900.0,"72,400",1.05,1.10,"32,725",-1.25,1.05,22.66,"1,07,255",-285.0,6974,,0.0,-299.25
14,,18,0.0,-,-,1760.0,-,"1,000","1,482.95","1,632.50","1,000",20950.0,750,1.20,1.40,250,-1.50,1.25,22.45,"47,546",-4374.0,4444,,0.0,-5467.5
15,,1231,67.0,301,-,1500.65,-217.75,75,"1,490.55","1,547.70","1,950",21000.0,"91,175",1.15,1.25,"44,050",-1.25,1.25,21.78,"6,86,873",12056.0,94663,,100543.55,15070.0
16,,22,0.0,-,-,1715.0,-,600,"1,400.55","1,491.15","1,000",21050.0,"13,075",1.20,1.25,25,-1.70,1.25,21.12,"61,745",-3692.0,2972,,0.0,-4615.0
17,,54,7.0,7,29.47,1425.0,-193.15,100,"1,385.85","1,423.30",100,21100.0,50,1.25,1.40,"1,500",-1.45,1.35,20.64,"2,37,551",-5634.0,19085,,9975.0,-7605.900000000001
18,,28,0.0,-,-,1590.0,-,600,"1,305.80","1,391.20","1,000",21150.0,"1,650",1.35,1.65,"1,475",-1.35,1.65,20.46,"82,773",-5554.0,7080,,0.0,-9164.1
19,,38,0.0,-,-,1533.65,6.20,"1,000","1,240.85","1,348.30","1,000",21200.0,"23,300",1.55,1.60,"1,800",-1.45,1.5,19.55,"3,13,113",1861.0,25347,,0.0,2791.5
20,,26,0.0,-,-,1379.9,0.75,600,"1,202.05","1,291.35","1,000",21250.0,975,1.30,1.50,325,-1.50,1.5,18.87,"98,176",-5897.0,6426,,0.0,-8845.5
21,,193,1.0,50,17.65,1212.0,-215.50,75,"1,193.05","1,205.60",175,21300.0,"25,550",1.60,1.65,"1,875",-1.55,1.6,18.34,"4,16,618",6358.0,33328,,1212.0,10172.800000000001
22,,188,0.0,-,-,1378.4,-,600,"1,104.15","1,198.15","1,000",21350.0,50,1.75,2.00,350,-1.65,1.8,17.92,"1,16,536",-6631.0,13063,,0.0,-11935.800000000001
23,,87,-11.0,21,-,1110.0,-204.15,50,"1,079.50","1,116.95",575,21400.0,"1,725",2.05,2.15,"1,275",-1.40,2.1,17.58,"3,37,302",4035.0,38310,,-12210.0,8473.5
24,,16,7.0,7,-,1053.2,-191.80,150,"1,037.40","1,067.90",50,21450.0,575,2.05,2.35,"1,325",-1.70,2.1,16.88,"2,01,871",4938.0,18929,,7372.400000000001,10369.800000000001
25,,5026,-1177.0,"4,622",-,994.0,-231.70,75,996.05,"1,003.75",75,21500.0,"3,600",2.70,2.75,400,-1.25,2.7,16.75,"10,00,514",25767.0,141535,,-1169938.0,69570.90000000001
26,,6,0.0,-,-,1132.0,-,600,904.70,995.70,"1,000",21550.0,"1,050",2.55,3.00,"1,275",-1.45,2.75,16.06,"2,42,930",4832.0,13754,,0.0,13288.0
27,,303,-9.0,115,-,911.05,-213.25,"1,000",845.50,942.10,"1,000",21600.0,225,2.85,3.10,350,-1.50,2.85,15.41,"4,91,607",16873.0,45849,,-8199.449999999999,48088.05
28,,12,0.0,-,-,1072.0,-,600,805.80,896.40,"1,000",21650.0,925,3.30,4.10,250,-1.40,3.3,15.00,"2,61,993",17110.0,23816,,0.0,56463.0
29,,604,-172.0,574,-,803.2,-221.45,125,796.70,806.65,25,21700.0,"2,400",4.00,4.25,150,-1.05,4.0,14.69,"6,77,200",30030.0,71279,,-138150.4,120120.0
30,,89,57.0,88,19.26,781.75,-181.25,175,738.75,794.25,"1,000",21750.0,50,4.75,5.40,"5,275",-0.45,5.0,14.45,"4,48,241",11000.0,20263,,44559.75,55000.0
31,,1041,21.0,"4,391",-,701.5,-225.10,100,699.30,707.65,50,21800.0,75,5.70,6.90,150,-0.15,5.9,14.05,"13,50,160",44476.0,156964,,14731.5,262408.4
32,,294,18.0,178,13.15,667.45,-207.50,75,650.40,663.95,175,21850.0,400,7.15,7.65,325,2.00,8.5,14.20,"4,69,411",12636.0,27019,,12014.1,107406.0
33,,1473,233.0,"4,769",-,604.2,-225.25,100,604.30,613.20,75,21900.0,50,9.30,10.70,375,2.15,9.45,13.63,"12,32,333",74360.0,107927,,140778.6,702702.0
34,,99,53.0,"1,085",-,552.85,-220.80,75,555.95,568.45,200,21950.0,650,10.20,12.75,775,3.50,11.7,13.36,"6,22,526",28238.0,39026,,29301.050000000003,330384.6
35,,21382,-730.0,"71,495",9.48,515.0,-215.50,350,515.00,517.10,50,22000.0,250,15.50,16.50,25,6.50,16.0,13.42,"24,71,717",99189.0,221991,,-375950.0,1587024.0
36,,682,445.0,"5,725",9.26,466.35,-217.90,25,465.45,476.95,75,22050.0,75,19.75,21.35,50,9.05,20.0,13.21,"6,97,478",10476.0,43370,,207525.75,209520.0
37,,4350,639.0,"23,257",10.09,422.0,-210.00,225,416.30,425.00,25,22100.0,25,24.30,27.00,725,13.90,27.0,13.33,"15,69,387",56498.0,96963,,269658.0,1525446.0
38,,2265,1023.0,"16,232",10.54,379.05,-208.25,25,379.35,384.95,75,22150.0,175,32.25,34.00,"1,475",16.90,32.65,13.03,"8,36,907",19007.0,36640,,387768.15,620578.5499999999
39,,11297,5664.0,"94,751",11.22,340.45,-200.05,325,337.25,342.00,50,22200.0,125,41.05,42.10,250,23.35,42.35,13.08,"19,67,663",43302.0,105290,,1928308.8,1833839.7
40,,3370,2325.0,"45,921",11.29,300.5,-196.30,25,298.00,303.10,75,22250.0,25,50.30,52.50,300,26.95,50.0,12.68,"11,32,691",8673.0,29435,,698662.5,433650.0
41,,19883,10510.0,"3,35,888",12.01,269.0,-182.10,50,260.70,265.65,75,22300.0,100,63.00,64.95,"1,000",36.65,64.95,12.89,"26,51,467",22637.0,95212,,2827190.0,1470273.1500000001
42,,15703,13673.0,"3,18,191",11.42,227.8,-179.40,25,225.75,229.95,125,22350.0,150,78.00,80.00,"5,850",44.70,78.75,12.73,"17,97,529",21422.0,44485,,3114709.4000000004,1686982.5
43,,60501,44416.0,"16,12,827",11.24,193.0,-172.35,100,193.00,196.20,25,22400.0,25,94.70,97.90,175,56.05,97.6,12.83,"40,89,137",25423.0,96293,,8572288.0,2481284.8
44,,33089,30425.0,"11,53,345",11.55,166.35,-156.95,25,166.15,167.35,25,22450.0,25,115.25,117.30,300,66.50,117.3,12.76,"23,52,147",31066.0,49777,,5061198.75,3644041.8
45,,161843,129549.0,"31,51,290",11.35,137.0,-147.70,575,137.00,140.00,"1,000",22500.0,175,139.85,142.00,"2,625",80.65,142.0,12.90,"46,96,071",35465.0,145976,,17748213.0,5036030.0
46,,61289,46466.0,"12,82,563",11.66,116.4,-132.65,50,115.00,116.70,75,22550.0,50,166.55,168.40,25,94.35,169.0,13.01,"17,86,523",5591.0,32247,,5408642.4,944879.0
47,,172350,117621.0,"31,40,132",11.65,95.15,-118.25,750,95.05,95.95,150,22600.0,75,195.65,197.75,25,105.70,195.65,12.86,"32,90,430",-29724.0,73165,,11191638.15,-5815500.600000001
48,,82445,45881.0,"16,72,362",11.75,77.85,-104.15,150,77.30,77.85,"1,350",22650.0,250,229.15,229.70,25,119.70,227.05,12.89,"15,61,302",-17847.0,27324,,3571835.8499999996,-4052161.35
49,,248864,114076.0,"38,85,051",11.78,62.5,-89.65,650,62.00,63.20,950,22700.0,100,260.65,264.80,25,133.60,261.4,12.98,"27,53,569",-49766.0,62809,,7129750.0,-13008832.399999999
50,,112935,78709.0,"20,36,491",11.93,50.6,-75.10,25,49.90,51.05,50,22750.0,50,299.20,304.65,125,155.00,305.5,13.85,"13,29,704",5304.0,28278,,3982675.4,1620372.0
51,,278895,165822.0,"41,92,264",11.94,39.6,-61.70,475,39.60,40.05,125,22800.0,200,340.00,343.15,50,166.30,343.0,13.88,"18,25,828",-7106.0,33164,,6566551.2,-2437358.0
52,,105454,85937.0,"17,12,847",12.14,31.95,-48.60,175,31.70,31.95,"4,775",22850.0,25,380.85,383.95,25,176.10,382.45,13.92,"3,29,544",9338.0,15468,,2745687.15,3571318.1
53,,161281,104127.0,"24,45,865",12.23,25.0,-37.55,"1,800",25.00,25.10,325,22900.0,25,425.00,427.20,25,186.90,425.0,14.16,"4,30,767",6150.0,15488,,2603175.0,2613750.0
54,,57743,32515.0,"11,25,238",12.24,18.95,-28.85,200,19.25,20.10,50,22950.0,75,468.20,472.35,25,200.40,473.25,15.06,"76,721",7243.0,9218,,616159.25,3427749.75
55,,255541,119991.0,"29,07,510",12.32,14.5,-21.50,750,14.50,15.75,325,23000.0,25,516.00,518.00,50,207.75,518.55,15.47,"2,04,968",-153.0,17335,,1739869.5,-79338.15
56,,58937,38262.0,"9,88,669",12.59,11.75,-14.70,"1,250",11.65,11.85,100,23050.0,75,559.95,566.00,150,210.50,562.35,15.50,"26,278",6017.0,6521,,449578.5,3383659.95
57,,153643,63734.0,"17,27,520",12.80,9.35,-9.80,300,9.25,9.30,450,23100.0,550,578.95,611.80,50,211.90,610.0,16.08,"40,036",4223.0,6287,,595912.9,2576030.0
58,,95444,62007.0,"11,98,736",12.88,7.05,-6.50,350,7.05,7.40,25,23150.0,75,652.95,663.80,75,220.35,656.8,16.42,"3,579",1049.0,1176,,437149.35,688983.2
59,,149387,30033.0,"16,53,371",13.22,5.9,-3.55,500,5.90,6.15,"2,450",23200.0,25,704.65,708.65,50,227.10,709.7,17.97,"14,953",1275.0,2616,,177194.7,904867.5
60,,52232,28584.0,"9,16,690",13.54,4.9,-1.85,100,4.90,4.95,100,23250.0,75,749.70,759.80,50,209.25,744.9,15.14,516,50.0,170,,140061.6,37245.0
61,,171553,58936.0,"15,80,839",13.91,4.2,-0.60,"10,725",4.10,4.30,250,23300.0,125,799.65,808.20,150,221.45,802.75,18.26,"1,859",-19.0,491,,247531.2,-15252.25
62,,60648,36105.0,"5,95,482",14.39,3.8,0.15,50,3.45,3.80,"1,550",23350.0,75,846.70,900.00,175,118.35,850.55,18.56,196,16.0,22,,137199.0,13608.8
63,,133820,53188.0,"11,30,136",14.63,3.1,0.20,650,3.00,3.10,600,23400.0,75,897.50,945.45,125,208.35,888.15,14.12,51,4.0,231,,164882.80000000002,3552.6
64,,57762,42590.0,"4,94,471",15.24,3.0,0.75,"6,225",3.00,3.20,900,23450.0,"1,000",913.80,998.55,600,-,703.2,-,-,0.0,12,,127770.0,0.0
65,,270253,116637.0,"14,27,643",15.87,2.95,0.80,500,2.80,2.85,500,23500.0,150,999.70,"1,006.80",275,228.35,1002.35,21.65,"2,907",111.0,700,,344079.15,111260.85
66,,64810,55349.0,"3,89,946",16.37,2.75,0.90,"8,575",2.75,2.85,75,23550.0,125,"1,036.35","1,098.25",75,93.00,1015.2,-,35,11.0,35,,152209.75,11167.2
67,,77140,45377.0,"6,79,062",16.71,2.4,0.75,125,2.40,2.75,"2,800",23600.0,"1,000","1,067.35","1,149.00",75,217.35,1078.35,-,101,23.0,57,,108904.8,24802.05
68,,18179,11130.0,"2,48,817",17.25,2.3,0.75,325,2.25,2.65,"1,025",23650.0,"1,000","1,115.15","1,196.45",600,204.75,1124.0,-,11,8.0,33,,25598.999999999996,8992.0
69,,54674,14419.0,"5,62,193",18.09,2.5,1.15,325,2.35,2.45,75,23700.0,"1,025","1,193.45","1,208.85",50,233.70,1197.95,23.57,34,8.0,29,,36047.5,9583.6
70,,16632,11043.0,"1,75,314",18.18,2.0,0.70,"1,125",2.10,2.50,"1,800",23750.0,"1,000","1,208.65","1,299.80",600,3.40,1089.15,-,-,0.0,14,,22086.0,0.0
71,,44883,20206.0,"5,09,720",18.98,2.15,0.95,"1,025",2.15,2.25,850,23800.0,50,"1,277.20","1,315.05",50,144.25,1230.25,-,15,1.0,35,,43442.9,1230.25
72,,14772,9892.0,"1,70,663",19.77,2.3,1.10,950,2.20,2.30,350,23850.0,"1,000","1,307.15","1,393.90",600,-,1156.25,-,-,0.0,27,,22751.6,0.0
73,,21250,17401.0,"3,73,121",20.09,2.05,0.80,"1,300",2.05,2.35,300,23900.0,50,"1,394.15","1,441.60",50,200.70,1437.85,36.74,2,1.0,11,,35672.049999999996,1437.85
74,,7887,7087.0,"1,09,682",20.70,2.05,0.80,"1,075",2.05,2.45,50,23950.0,"1,000","1,407.15","1,494.15",600,3.40,1286.15,-,-,0.0,14,,14528.349999999999,0.0
75,,136719,77582.0,"10,87,377",21.24,2.0,0.85,"12,150",2.00,2.10,575,24000.0,50,"1,497.50","1,507.65",75,197.75,1471.8,-,182,-12.0,953,,155164.0,-17661.6
76,,13249,7071.0,"1,08,829",22.16,2.25,0.95,325,2.10,2.30,875,24050.0,"1,000","1,468.70","1,613.05","1,000",-0.05,1379.8,-,-,0.0,6,,15909.75,0.0
77,,19822,10620.0,"2,15,270",21.92,1.65,0.30,"1,800",1.80,2.00,400,24100.0,"1,000","1,539.90","1,657.25","1,000",3.45,1434.45,-,-,0.0,12,,17523.0,0.0
78,,13183,6951.0,"1,20,204",23.10,2.05,0.65,325,1.90,2.05,"1,500",24150.0,"1,000","1,547.10","1,696.70",600,-0.25,1478.85,-,-,0.0,6,,14249.55,0.0
79,,31553,21570.0,"2,66,566",23.40,1.85,0.55,400,1.80,2.30,100,24200.0,"1,000","1,618.70","1,755.25",600,26.90,1497.5,-,-,0.0,12,,39904.5,0.0
80,,11234,3751.0,"58,621",24.13,1.95,0.55,325,1.80,2.00,900,24250.0,"1,000","1,670.40","1,812.20","1,000",0.15,1579.0,-,-,0.0,6,,7314.45,0.0
81,,32135,18704.0,"2,15,071",24.23,1.65,0.60,"1,550",1.80,2.00,250,24300.0,"1,000","1,749.35","1,846.35",600,3.70,1632.85,-,-,0.0,12,,30861.6,0.0
82,,9592,4864.0,"49,571",25.14,1.85,0.60,325,1.80,2.10,50,24350.0,"1,000","1,762.60","1,897.65",600,3.50,1682.25,-,-,0.0,12,,8998.4,0.0
83,,42850,30385.0,"2,11,288",26.11,2.1,0.95,"6,975",2.00,2.05,500,24400.0,"1,000","1,850.85","1,975.75","1,000",3.60,1732.35,-,-,0.0,12,,63808.5,0.0
84,,32175,18175.0,"98,083",26.61,2.05,0.90,325,1.90,2.05,"1,400",24450.0,"1,000","1,903.50","2,004.10",600,120.10,1926.45,-,18,9.0,27,,37258.75,17338.05
85,,176443,128307.0,"9,93,200",26.86,1.85,0.80,"2,175",1.85,1.90,"16,150",24500.0,50,"1,970.70","2,043.50",50,282.00,2030.0,45.79,4,0.0,14,,237367.95,0.0
